Video Id,Video Title,Link,BERTopic Topics
--8n6A8Q6M0,$200 Luxury Beach Hotel in The Philippines 🇵🇭,https://www.youtube.com/watch?v=--8n6A8Q6M0,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (70.59%)

Topic 10: Topic 10: Swimming with (Topic 10: Swimming with Whale Sharks ) (5.88%)

Topic 43: Topic 43: Trip to (Topic 43: Trip to a Beach Destination) (17.65%)

Topic 59: Topic 59: Rainy Season (Topic 59: Rainy Season) (5.88%)
"
-1B7cVoZr1c,Marine reacts to the Philippine Light Reaction Regiment (LRR),https://www.youtube.com/watch?v=-1B7cVoZr1c,"Topic 4: Topic 4: Military Assets, (Topic 4: Military Assets, Combat, Strategies) (83.33%)

Topic 25: Topic 25: Military and (Topic 25: Military and its Subunits) (16.67%)
"
-7vF5F-1btE,Ultimate Filipino Food Festival In The Netherlands!,https://www.youtube.com/watch?v=-7vF5F-1btE,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (87.50%)

Topic 65: Topic 65: Satisfying Hunger (Topic 65: Satisfying Hunger with Delicious Food) (12.50%)
"
-9bfDHHneyU,SHOWING MY SISTER SB19 'GENTO' Music Video,https://www.youtube.com/watch?v=-9bfDHHneyU,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (100.00%)
"
-C5iB25BRsA,10 Reasons/Do not Retire TO the Philippines/Moving to the Philippines/Philippine/Dumaguete,https://www.youtube.com/watch?v=-C5iB25BRsA,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (54.55%)

Topic 9: Topic 9: Travel to (Topic 9: Travel to Taiwan & Destinations) (9.09%)

Topic 30: Topic 30: Wealthy & (Topic 30: Wealthy & Rich Tourists Travelling) (9.09%)

Topic 58: Topic 58: Drinks & (Topic 58: Drinks & Relaxation by the Pool) (9.09%)

Topic 64: Topic 64: Bonifacio Global (Topic 64: Bonifacio Global City, Taguig, Metro Manila) (9.09%)

Topic 94: Topic 94: Friendly and (Topic 94: Friendly and Romantic Relationships ) (9.09%)
"
-GVbt3qdq70,Christmas is NEXT LEVEL in the Philippines | Latinos react to Viral Filipino Singing TikToks,https://www.youtube.com/watch?v=-GVbt3qdq70,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (66.67%)

Topic 2: Topic 2: Christmas Season (Topic 2: Christmas Season & Celebration) (33.33%)
"
-JTkbbE_KP4,RAPSTAR REACTION! FLOW G is the FILIPINO DRAKE!,https://www.youtube.com/watch?v=-JTkbbE_KP4,
-JlBNKlG3Yw,Port Barton in the Philippines: Foreigners first impressions - Where are the tourists?!?!,https://www.youtube.com/watch?v=-JlBNKlG3Yw,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (14.29%)

Topic 10: Topic 10: Swimming with (Topic 10: Swimming with Whale Sharks ) (14.29%)

Topic 15: Topic 15: Walking by (Topic 15: Walking by the Beach Experience) (14.29%)

Topic 59: Topic 59: Rainy Season (Topic 59: Rainy Season) (14.29%)

Topic 75: Topic 75: Internet Connectivity (Topic 75: Internet Connectivity in Tourist Destinations) (14.29%)

Topic 93: Topic 93: Island and (Topic 93: Island and Beach Travel Experiences) (14.29%)

Topic 96: Topic 96: Cats & (Topic 96: Cats & Rats) (14.29%)
"
-KHOXPq_M-Q,Philippines VS. Thailand - 7 BIG differences (Girlfriend Experience!),https://www.youtube.com/watch?v=-KHOXPq_M-Q,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (63.64%)

Topic 40: Topic 40: Largest Solar (Topic 40: Largest Solar Power Projects in Manila / Southeast Asia) (9.09%)

Topic 74: Topic 74: Philippine Beauty (Topic 74: Philippine Beauty Pageant & Miss Universe) (9.09%)

Topic 82: Topic 82: Skin Color (Topic 82: Skin Color & Beauty) (9.09%)

Topic 98: Topic 98: Activities and (Topic 98: Activities and Discussions in Morong, Bataan ) (9.09%)
"
-NkPxyvAqzA,Why Americans Love Filipino Culture,https://www.youtube.com/watch?v=-NkPxyvAqzA,"Topic 0: Topic 0: Delicious Dishes (Topic 0: Delicious Dishes and Dining) (58.82%)

Topic 3: Topic 3: Experiences of (Topic 3: Experiences of Children in Community & Culture) (5.88%)

Topic 27: Topic 27: Listening & (Topic 27: Listening & Watching Loved Ones Depart ) (5.88%)

Topic 36: Topic 36: Officer Meijii (Topic 36: Officer Meijii Yoshimi and the Onoda Incident) (5.88%)

Topic 43: Topic 43: Trip to (Topic 43: Trip to a Beach Destination) (5.88%)

Topic 52: Topic 52: Poverty Porn (Topic 52: Poverty Porn Content in YouTube) (5.88%)

Topic 56: Topic 56: Suspension of (Topic 56: Suspension of Classes in Schools) (5.88%)

Topic 86: Topic 86: Characteristics of (Topic 86: Characteristics of Filipinas from Davao) (5.88%)
"
