Video Id,Video Title,Topic Count,Topics
--8n6A8Q6M0,$200 Luxury Beach Hotel in The Philippines 🇵🇭,4,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 10: swim whale sharks, whale sharks, swimming whale sharks, whale shark, swim whale, whales, swimming whale, whale, shark, sharks sharks (Topic 10: Swimming with Whale Sharks ), Topic 43: visiting retiring beach, tips visiting retiring, retiring beach jet, retiring beach, visiting retiring, landings tips visiting, traveling, easier wasting online, thriving tips visiting, upcoming tips visiting (Topic 43: Trip to a Beach Destination), Topic 59: rainy season, rainy, windy, rained, natural windmill natural, natural windmill, raining, local, windmill natural, morning (Topic 59: Rainy Season)"
-1B7cVoZr1c,Marine reacts to the Philippine Light Reaction Regiment (LRR),2,"Topic 4: battalion combat, armed forces, troops, warfare, soldiers, urban warfare, artillery, military, battle, counterattack (Topic 4: Military Assets, Combat, Strategies), Topic 25: recruits, training, scout rangers, platoon, soldiers, military, army rangers, marine corps, army, corps (Topic 25: Military and its Subunits)"
-7vF5F-1btE,Ultimate Filipino Food Festival In The Netherlands!,2,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 65: hungry hungry hungry, hungry hungry, hungry, tasty, juicy, eating, delicious, lunch, dish, pop pop pop (Topic 65: Satisfying Hunger with Delicious Food)"
-9bfDHHneyU,SHOWING MY SISTER SB19 'GENTO' Music Video,1,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining)"
-C5iB25BRsA,10 Reasons/Do not Retire TO the Philippines/Moving to the Philippines/Philippine/Dumaguete,6,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 9: topics taiwan, taiwan, taiwan staying, taiwan taiwan, caribbean staying, kuala, ayan ayan, fun, trip, stay plans (Topic 9: Travel to Taiwan & Destinations), Topic 30: considered rich, immigration, rich money rich, rich rich rich, rich rich, money rich, tourists, pay tourists, rich, rich money (Topic 30: Wealthy & Rich Tourists Travelling), Topic 58: pool bar pool, bar pool, pool bar, kananga kananga, bank, kumukutikutitap, wine coconut wine, kumukutikutitap kumukutikutitap, pool pool, pool (Topic 58: Drinks & Relaxation by the Pool), Topic 64: bgc modern manila, manila, animals, modern manila, animal, pets, pet, roosters, deadliest animals, chickens (Topic 64: Bonifacio Global City, Taguig, Metro Manila), Topic 94: friends attractive attractive, friends attractive, romantic, attractive attractive, romantic girl, attractive, crush friends, girls, lovely girls, attracted (Topic 94: Friendly and Romantic Relationships )"
-GVbt3qdq70,Christmas is NEXT LEVEL in the Philippines | Latinos react to Viral Filipino Singing TikToks,2,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 2: christmas merry christmas, celebrate christmas, christmas christmas christmas, christmas celebrate, celebrating christmas, merry christmas, merry christmas happy, christmas christmas, christmas merry, december christmas (Topic 2: Christmas Season & Celebration)"
-JlBNKlG3Yw,Port Barton in the Philippines: Foreigners first impressions - Where are the tourists?!?!,7,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 10: swim whale sharks, whale sharks, swimming whale sharks, whale shark, swim whale, whales, swimming whale, whale, shark, sharks sharks (Topic 10: Swimming with Whale Sharks ), Topic 15: walk beach, beach, beach beach beach, beach beach, beaches, john john, walk water walk, walk water, water walk, water walk water (Topic 15: Walking by the Beach Experience), Topic 59: rainy season, rainy, windy, rained, natural windmill natural, natural windmill, raining, local, windmill natural, morning (Topic 59: Rainy Season), Topic 75: wifi island, wifi, speed wifi, tourist spot, spot tourist, tourist spot tourist, tourist, bookingcom, live local, local (Topic 75: Internet Connectivity in Tourist Destinations), Topic 93: sabu, ride, transport, beach, boat, island, sim, ramen boat, sabu sabu, fun (Topic 93: Island and Beach Travel Experiences), Topic 96: rat, female rat, cat, cats, rat roof, buntonghininga, buntag, tapo, hatch, buco pondon (Topic 96: Cats & Rats)"
-KHOXPq_M-Q,Philippines VS. Thailand - 7 BIG differences (Girlfriend Experience!),5,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 40: worlds largest solar, largest solar, renewable, solar power, manila, sustainable, horizon manila, worlds largest, southeast asian, solar (Topic 40: Largest Solar Power Projects in Manila / Southeast Asia), Topic 74: beauty pageants beauty, pageants beauty pageants, pageants beauty, beauty pageants, beauty pageant, pageant, phili phili, phili, universe pageant, pageants (Topic 74: Philippine Beauty Pageant & Miss Universe), Topic 82: skin color, beauty, color, skin, noticed, pale skin, tan tan, vesaya tan, skin skin, eyebrow (Topic 82: Skin Color & Beauty), Topic 98: batou batou batou, batou batou, sang miguel, family gossiping, batou, morong morong, tiktok, morong extra morong, pajama party, morong (Topic 98: Activities and Discussions in Morong, Bataan )"
-NkPxyvAqzA,Why Americans Love Filipino Culture,8,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 3: kids, poor, learn, deserve, society, told, culture, happened, cultures, community (Topic 3: Experiences of Children in Community & Culture), Topic 27: watching leave loved, listen listen listen, listen listen, listen, loved peace, watching, leave loved peace, watching leave, lou, lou marie lou (Topic 27: Listening & Watching Loved Ones Depart ), Topic 36: officer meijii yoshimi, meijii yoshimi, meijii yoshimi tenoguchi, yoshimi tenoguchi, officer meijii, yoshimi, commanding officer meijii, meijii, onoda soldier, akatsu (Topic 36: Officer Meijii Yoshimi and the Onoda Incident), Topic 43: visiting retiring beach, tips visiting retiring, retiring beach jet, retiring beach, visiting retiring, landings tips visiting, traveling, easier wasting online, thriving tips visiting, upcoming tips visiting (Topic 43: Trip to a Beach Destination), Topic 52: youtubers poverty porn, create poverty porn, porn poverty porn, poverty porn, poverty porn poverty, watch poverty porn, porn poverty, youtubers poverty, porn, watch poverty (Topic 52: Poverty Porn Content in YouTube), Topic 56: school pula, school class, walampa sok school, school school, school solution, sok school, classroom, school, teachers, school play (Topic 56: Suspension of Classes in Schools), Topic 86: filipina, christian filipina, davao loving, happy, davao loving caring, loving loving, funny, culture humble, jokes funny hilarious, loving (Topic 86: Characteristics of Filipinas from Davao)"
-O-ZnlGZq-4,What's It Like Living In The Philippines? 🇵🇭 | Foreigner's Perspective,3,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 13: quail egg, egg yolk, chicken egg, eggs quail, quail eggs, quail eggs quail, eggs quail eggs, duck egg, salted egg, fertilized duck egg (Topic 13: Balut and other Eggs), Topic 89: fruits mango, mangosteen, fruit fresh, mangoes, mango, fruit, mango mango, fruit fruit, mango apple, fruits (Topic 89: Mango Fruit)"
-P_7E7gq6vs,Foreigner cooks Filipino pork adobo for the first time,4,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 20: tourist visa, bureau immigration, visa, visa extension, immigration, traveling, visa application, trip, tourist, deport (Topic 20: Travel Immigration & Visa Processes), Topic 34: squid squid, squid squid squid, squid, stew, soup, shrimp, dip sauce, sauce, fried, soy sauce (Topic 34: Squid), Topic 95: pinay moms blogs, moms blogs, pinay moms, moms, blogs, blog, pinay, sister, family, jane (Topic 95: Filipino Moms doing a Vlog)"
-Ts46vj5sEc,Real Life Fathers of 18 Top Filipino Actors ll You didn't know in 2023,2,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 24: manny, father actor, manny pacquiao, salt papi, papi, guapo guapo, actor, art royal god, guapo, manly (Topic 24: Manny Pacquaio (National Icon))"
-U5-r29G-t0,First time trying Filipino Street Food.,3,"Topic 0: delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet (Topic 0: Delicious Dishes and Dining), Topic 19: halohalo, ube ice cream, ice candy, yum, flavors, ice cream ice, ice cream, halo halo halo, gravy, cream ice cream (Topic 19: Philippine Halo-Halo Dessert), Topic 32: puppies, puppies hope, doggy, stray dogs, pets family, dogs dogs, dogs, dogs stray dogs, pet, dog (Topic 32: Dogs)"
