Topic,Topic Name,Label,Video Count
-1,"kuzon kuzon hilindiasstly, kuzon kuzon, kuzon kuzon kuzon, kuzon hilindiasstly, kuzon, , , , , ",Topic -1: Outliers,19
0,"delicious, eating, restaurant, dish, sauce, cook, fried, breakfast, spicy, sweet",Topic 0: Delicious Dishes and Dining,2594
1,"speak language, language speak, learn language, language english, language language language, learn english, speak spanish, language language, learning language, english accent",Topic 1: Learning and Speaking Foreign Language,258
2,"christmas merry christmas, celebrate christmas, christmas christmas christmas, christmas celebrate, celebrating christmas, merry christmas, merry christmas happy, christmas christmas, christmas merry, december christmas",Topic 2: Christmas Season & Celebration,205
3,"kids, poor, learn, deserve, society, told, culture, happened, cultures, community",Topic 3: Experiences of Children in Community & Culture,149
4,"battalion combat, armed forces, troops, warfare, soldiers, urban warfare, artillery, military, battle, counterattack","Topic 4: Military Assets, Combat, Strategies",47
5,"haircut barber, haircuts, haircut, haircut haircut, cut haircut, barber, barbers, shave, shaved, shave shave",Topic 5: Barber Services,93
6,"species crocodile, crocodiles, crocodile crocodile, crocodile, peacock fethers, alligator, peacock, endangered species, wildlife, cobra",Topic 6: Wildlife Species & Conservation,49
7,"wear makeup, makeup, lipstick, makeup makeup, makeup skin, makeup artist, makeup coconut oil, makeup coconut, mascara, skin",Topic 7: Makeup Products and Application,95
8,"dated, dating, students, girls, single dated, girl, friends, filipina, student, girlfriend",Topic 8: Philippines’ Dating & Relationship of Females,98
9,"topics taiwan, taiwan, taiwan staying, taiwan taiwan, caribbean staying, kuala, ayan ayan, fun, trip, stay plans",Topic 9: Travel to Taiwan & Destinations,68
10,"swim whale sharks, whale sharks, swimming whale sharks, whale shark, swim whale, whales, swimming whale, whale, shark, sharks sharks",Topic 10: Swimming with Whale Sharks ,110
11,"negros negros, black accepting black, black experience, black black accepting, black black, experience black, black, negros, black accepting, black friendly",Topic 11:  Black Experiences and Acceptance,59
12,"drinkers, drinker, drinking etiquette, drinking, drinker excessively, drank, drinking session varies, drinking session, drink, liquor",Topic 12: Drinking Culture & Practices,42
13,"quail egg, egg yolk, chicken egg, eggs quail, quail eggs, quail eggs quail, eggs quail eggs, duck egg, salted egg, fertilized duck egg",Topic 13: Balut and other Eggs,94
14,"archipelago spanish, spanish colony, spanish empire, spanish colonial, spaniards, manila, king spain, spanish rule, archipelago, rule spanish",Topic 14: Spanish Colonialism in the Philippines,55
15,"walk beach, beach, beach beach beach, beach beach, beaches, john john, walk water walk, walk water, water walk, water walk water",Topic 15: Walking by the Beach Experience,209
16,"eagle impressive, eagle eagle, eagle eagle eagle, eagle bald eagle, eagle bird, eagle impressive arched, bald eagle, eagle, bald eagles, eagle bald",Topic 16: Philippine Monkey Eating Eagle,25
17,"filipinawives, filipina couples, filipina, tourist visas, tourist visa, tourist visa applications, visitor visa, apply partner visa, visa application, partner visa",Topic 17: Filipino Partner & Tourist Visas,47
18,"sagada, adore adore, buried, grave, grand canal mall, rodrigo, cemetery, canal mall, coffins, hanging coffins",Topic 18: Sagada Burial Caves & Hanging Coffins,50
19,"halohalo, ube ice cream, ice candy, yum, flavors, ice cream ice, ice cream, halo halo halo, gravy, cream ice cream",Topic 19: Philippine Halo-Halo Dessert,228
20,"tourist visa, bureau immigration, visa, visa extension, immigration, traveling, visa application, trip, tourist, deport",Topic 20: Travel Immigration & Visa Processes,68
21,"rice terraces smartly, eighth rice terraces, rice terraces, terraces eighth rice, destination rice plantations, rice terraces eighth, tourist destination rice, rice vegetables exported, harvest rice vegetables, rice plantations",Topic 21: Banaue Rice Terraces,63
22,"prejudices prejudice women, discussion roots prejudice, prejudice women, prejudice women women, prejudice talking, talking prejudice, prejudices prejudice, strong prejudice, prejudice hybrids told, prejudice mentioned prejudice",Topic 22: Discussing Prejudice Against Women,25
23,"winter summer cold, summer cold, winter, cold cold, cold, autumn, warm, snow, seasons, seasons seasons",Topic 23: Seasons and Weather ,72
24,"manny, father actor, manny pacquiao, salt papi, papi, guapo guapo, actor, art royal god, guapo, manly",Topic 24: Manny Pacquaio (National Icon),55
25,"recruits, training, scout rangers, platoon, soldiers, military, army rangers, marine corps, army, corps",Topic 25: Military and its Subunits,20
26,"local coffee, coffee shops, cafe, coffee shop, coffee, coffees, coffee coffee, quick coffee, coffee coffee coffee, strong coffee",Topic 26: Local Coffee and Coffee Shops,87
27,"watching leave loved, listen listen listen, listen listen, listen, loved peace, watching, leave loved peace, watching leave, lou, lou marie lou",Topic 27: Listening & Watching Loved Ones Depart ,54
28,"martial arts martial, martial art, kali martial, martial arts, arts martial arts, arts martial, martial, karate, judo, fighting",Topic 28: Mixed Martial Arts and Fighting ,35
29,"doctor doctor doctor, doctor, doctor doctor, vincent hospital, hospital, ultrasound blood, blood tests, ultrasound blood tests, ultrasound, blood",Topic 29: Medical Diagnostics & Hospital Services ,51
30,"considered rich, immigration, rich money rich, rich rich rich, rich rich, money rich, tourists, pay tourists, rich, rich money",Topic 30: Wealthy & Rich Tourists Travelling,49
