Video Id,Video Title,Channel Id,Channel Title,Link,BERTopic Topics
--8n6A8Q6M0,$200 Luxury Beach Hotel in The Philippines 🇵🇭,UCWm__g4cPmX-umorqM8VfWw,Travel with Luke Damant,https://www.youtube.com/watch?v=--8n6A8Q6M0,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (70.59%)

Topic 10: swim whale sharks, whale (Swimming with Whale Sharks ) (5.88%)

Topic 43: visiting retiring beach, tips (Trip to a Beach Destination) (17.65%)

Topic 59: rainy season, rainy, windy, (Rainy Season) (5.88%)"
-1B7cVoZr1c,Marine reacts to the Philippine Light Reaction Regiment (LRR),UCUB6A2YY9soreMGNwDLh-zw,Combat Arms Channel,https://www.youtube.com/watch?v=-1B7cVoZr1c,"Topic 4: battalion combat, armed forces, (Military Assets, Combat, Strategies) (83.33%)

Topic 25: recruits, training, scout rangers, (Military and its Subunits) (16.67%)"
-7vF5F-1btE,Ultimate Filipino Food Festival In The Netherlands!,UC_hN8xs99S6jnMdYCuJgoJA,Pinoy Planet,https://www.youtube.com/watch?v=-7vF5F-1btE,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (87.50%)

Topic 65: hungry hungry hungry, hungry (Satisfying Hunger with Delicious Food) (12.50%)"
-9bfDHHneyU,SHOWING MY SISTER SB19 'GENTO' Music Video,UC-wdvwNBuVobJRbISwjA5Hw,Alex Oh Reacts,https://www.youtube.com/watch?v=-9bfDHHneyU,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (100.00%)"
-C5iB25BRsA,10 Reasons/Do not Retire TO the Philippines/Moving to the Philippines/Philippine/Dumaguete,UChJZEuE4O45M6CbcYOS3U1w,Mike's Philippine Retirement,https://www.youtube.com/watch?v=-C5iB25BRsA,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (54.55%)

Topic 9: topics taiwan, taiwan, taiwan (Travel to Taiwan & Destinations) (9.09%)

Topic 30: considered rich, immigration, rich (Wealthy & Rich Tourists Travelling) (9.09%)

Topic 58: pool bar pool, bar (Drinks & Relaxation by the Pool) (9.09%)

Topic 64: bgc modern manila, manila, (Bonifacio Global City, Taguig, Metro Manila) (9.09%)

Topic 94: friends attractive attractive, friends (Friendly and Romantic Relationships ) (9.09%)"
-GVbt3qdq70,Christmas is NEXT LEVEL in the Philippines | Latinos react to Viral Filipino Singing TikToks,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,https://www.youtube.com/watch?v=-GVbt3qdq70,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (66.67%)

Topic 2: christmas merry christmas, celebrate (Christmas Season & Celebration) (33.33%)"
JTkbbE_KP4,RAPSTAR REACTION! FLOW G is the FILIPINO DRAKE!,UCxKN5z9rc4DlZ-7gI7mHKFg,T HUBS 22,https://www.youtube.com/watch?v=-JTkbbE_KP4,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (60.00%)

Topic 1: speak language, language speak, (Learning and Speaking Foreign Language) (20.00%)

Topic 120: winning game, game winning, (Winning Games and Excitement ) (20.00%)"
-JlBNKlG3Yw,Port Barton in the Philippines: Foreigners first impressions - Where are the tourists?!?!,UCVv-y0k91qAA-uI_K46UBvg,Dabble and Travel,https://www.youtube.com/watch?v=-JlBNKlG3Yw,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (14.29%)

Topic 10: swim whale sharks, whale (Swimming with Whale Sharks ) (14.29%)

Topic 15: walk beach, beach, beach (Walking by the Beach Experience) (14.29%)

Topic 59: rainy season, rainy, windy, (Rainy Season) (14.29%)

Topic 75: wifi island, wifi, speed (Internet Connectivity in Tourist Destinations) (14.29%)

Topic 93: sabu, ride, transport, beach, (Island and Beach Travel Experiences) (14.29%)

Topic 96: rat, female rat, cat, (Cats & Rats) (14.29%)"
-KHOXPq_M-Q,Philippines VS. Thailand - 7 BIG differences (Girlfriend Experience!),UCU78xbApo9_MCzS7B_tfY8w,AceBachelorCool,https://www.youtube.com/watch?v=-KHOXPq_M-Q,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (63.64%)

Topic 40: worlds largest solar, largest (Largest Solar Power Projects in Manila / Southeast Asia) (9.09%)

Topic 74: beauty pageants beauty, pageants (Philippine Beauty Pageant & Miss Universe) (9.09%)

Topic 82: skin color, beauty, color, (Skin Color & Beauty) (9.09%)

Topic 98: batou batou batou, batou (Activities and Discussions in Morong, Bataan ) (9.09%)"
-NkPxyvAqzA,Why Americans Love Filipino Culture,UC25HBOBYfc-scqCQcyYKVNw,Lifey,https://www.youtube.com/watch?v=-NkPxyvAqzA,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (58.82%)

Topic 3: kids, poor, learn, deserve, (Experiences of Children in Community & Culture) (5.88%)

Topic 27: watching leave loved, listen (Listening & Watching Loved Ones Depart ) (5.88%)

Topic 36: officer meijii yoshimi, meijii (Officer Meijii Yoshimi and the Onoda Incident) (5.88%)

Topic 43: visiting retiring beach, tips (Trip to a Beach Destination) (5.88%)

Topic 52: youtubers poverty porn, create (Poverty Porn Content in YouTube) (5.88%)

Topic 56: school pula, school class, (Suspension of Classes in Schools) (5.88%)

Topic 86: filipina, christian filipina, davao (Characteristics of Filipinas from Davao) (5.88%)"
-O-ZnlGZq-4,What's It Like Living In The Philippines? 🇵🇭 | Foreigner's Perspective,UCCqW89kkbLYRK912SLPsEmw,JUDY FLORES,https://www.youtube.com/watch?v=-O-ZnlGZq-4,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (62.50%)

Topic 13: quail egg, egg yolk, (Balut and other Eggs) (25.00%)

Topic 89: fruits mango, mangosteen, fruit (Mango Fruit) (12.50%)"
-P_7E7gq6vs,Foreigner cooks Filipino pork adobo for the first time,UCp4-ksiKbZ3vTmv3gQ6tF8w,The Wimmas,https://www.youtube.com/watch?v=-P_7E7gq6vs,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (60.00%)

Topic 20: tourist visa, bureau immigration, (Travel Immigration & Visa Processes) (10.00%)

Topic 34: squid squid, squid squid (Squid) (20.00%)

Topic 95: pinay moms blogs, moms (Filipino Moms doing a Vlog) (10.00%)"
-Ts46vj5sEc,Real Life Fathers of 18 Top Filipino Actors ll You didn't know in 2023,UC_2iPQwn_V2SflddzbtalLg,Celinka Updates,https://www.youtube.com/watch?v=-Ts46vj5sEc,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (40.00%)

Topic 24: manny, father actor, manny (Manny Pacquaio (National Icon)) (60.00%)"
-U5-r29G-t0,First time trying Filipino Street Food.,UCSp8fcx6N6EqteugsAHD9Vw,The Manifested Family,https://www.youtube.com/watch?v=-U5-r29G-t0,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (77.78%)

Topic 19: halohalo, ube ice cream, (Philippine Halo-Halo Dessert) (11.11%)

Topic 32: puppies, puppies hope, doggy, (Dogs) (11.11%)"
-WaDvcu7mcw,Philippines Balut 🇵🇭 Foreigner tries Balut #filipino #philippines,UCcaIZBgmiYTJP9fpO_xjMTQ,Travel Escapes,https://www.youtube.com/watch?v=-WaDvcu7mcw,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (50.00%)

Topic 13: quail egg, egg yolk, (Balut and other Eggs) (50.00%)"
-Wgdk-C7Rb8,A Foreigner's Guide to Thriving in the Philippines 🇵🇭 #shorts #philippines,UCP_y6xg3u3hF3pskXosMQyQ,Canadian In Philippines,https://www.youtube.com/watch?v=-Wgdk-C7Rb8,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (50.00%)

Topic 84: bop bop bop, bop (Unclear Repeated Terms (Noise)) (33.33%)

Topic 98: batou batou batou, batou (Activities and Discussions in Morong, Bataan ) (16.67%)"
-WuFjxvGJnI,Trying Pancit Canton In The Philippines For The First Time🇵🇭 #shorts,UClC88Hwf0c115jFj-fhVj2A,Kano Harry,https://www.youtube.com/watch?v=-WuFjxvGJnI,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (100.00%)"
-XCc67Ijcz8,"BAGYO KA LANG PINOY KAMI, PINOYS aren't scared of ANYTHING especially not TYPHOONS | HONEST REACTION",UCCgVh36x3hbuRnHMpwl443Q,Music Game News,https://www.youtube.com/watch?v=-XCc67Ijcz8,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (75.00%)

Topic 65: hungry hungry hungry, hungry (Satisfying Hunger with Delicious Food) (25.00%)"
-Ya6eSQ3wng,"Foreigners Guess FILIPINA CELEBRITIES, FULL OR HALF FILIPINO? FUNNY REACTION",UCYr4VTQfBpXrccQw_H2S8RA,JUICY REACTS,https://www.youtube.com/watch?v=-Ya6eSQ3wng,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (35.71%)

Topic 7: wear makeup, makeup, lipstick, (Makeup Products and Application) (7.14%)

Topic 24: manny, father actor, manny (Manny Pacquaio (National Icon)) (14.29%)

Topic 36: officer meijii yoshimi, meijii (Officer Meijii Yoshimi and the Onoda Incident) (7.14%)

Topic 47: singer, dance dance dance, (Singing and Dancing Stars) (7.14%)

Topic 53: war cuba, called cuba (War & Conflict in Cuba & Spain) (7.14%)

Topic 74: beauty pageants beauty, pageants (Philippine Beauty Pageant & Miss Universe) (7.14%)

Topic 89: fruits mango, mangosteen, fruit (Mango Fruit) (7.14%)

Topic 117: ipakita akong imong, ipakita (Filipino Phrases) (7.14%)"
-_E2KyNAvqg,Just How!? Waleska & Efra react to Philippines' Longest Single Breath Sustained Notes While Singing,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,https://www.youtube.com/watch?v=-_E2KyNAvqg,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (86.67%)

Topic 2: christmas merry christmas, celebrate (Christmas Season & Celebration) (6.67%)

Topic 7: wear makeup, makeup, lipstick, (Makeup Products and Application) (6.67%)"
-cOD9GglwzU,"FILIPINO POLICE Take FOREIGNERS Travelling In Zamboanga, Mindanao!",UCqdBWKP4_8bU-Rsk2LvVz6Q,BecomingFilipino,https://www.youtube.com/watch?v=-cOD9GglwzU,"Topic 0: delicious, eating, restaurant, dish, (Delicious Dishes and Dining) (60.00%)

Topic 5: haircut barber, haircuts, haircut, (Barber Services) (10.00%)

Topic 15: walk beach, beach, beach (Walking by the Beach Experience) (10.00%)

Topic 71: dog losin losin, losin (Dog Losing / Being Lost) (10.00%)

Topic 92: shopping malls, shopping malls (Going to Shopping Malls and Street Markets in Manila) (10.00%)"
-fWzHd63UCA,Americans React to Philippines Eagle vs. Bald Eagle,UCO5Jeark1e_JP36mY3ua19g,The Commodity,https://www.youtube.com/watch?v=-fWzHd63UCA,"Topic 16: eagle impressive, eagle eagle, (Philippine Monkey Eating Eagle) (100.00%)"
